,Show,NAME,LAT,LONG,COUNTRY,geometry
169,no,Makwiro,30.42752004,-17.96056002,Zimbabwe,POINT (30.42752004 -17.96056002)
170,no,Malapati,31.44592008,-22.05081,Zimbabwe,POINT (31.44592008 -22.05081)
171,no,Malimasindi,28.21289004,-18.29271996,Zimbabwe,POINT (28.21289004 -18.29271996)
172,no,Mandamambge,30.42915984,-20.08611,Zimbabwe,POINT (30.42915984 -20.08611)
173,no,Mangwendi,31.36295988,-18.37347003,Zimbabwe,POINT (31.36295988 -18.37347003)
174,no,Manjolo,27.42783984,-17.69856003,Zimbabwe,POINT (27.42783984 -17.69856003)
175,no,Mantlavina,30.89144016,-18.45930996,Zimbabwe,POINT (30.89144016 -18.45930996)
176,no,Manyati,29.93308992,-16.50258999,Zimbabwe,POINT (29.93308992 -16.50258999)
177,no,Maphisa,28.44795996,-21.04203996,Zimbabwe,POINT (28.44795996 -21.04203996)
178,no,Maramani,29.36383992,-22.01394996,Zimbabwe,POINT (29.36383992 -22.01394996)
179,yes,Marongora,29.15614008,-16.23771999,Zimbabwe,POINT (29.15614008 -16.23771999)
180,no,Marula,28.08460008,-20.47788999,Zimbabwe,POINT (28.08460008 -20.47788999)
181,no,Maryland Junction,30.49885008,-17.64386001,Zimbabwe,POINT (30.49885008 -17.64386001)
182,no,Mashaba,30.49584012,-20.05034004,Zimbabwe,POINT (30.49584012 -20.05034004)
183,no,Mashachuta,29.34987984,-21.84419997,Zimbabwe,POINT (29.34987984 -21.84419997)
184,no,Masole,29.42457012,-21.85433001,Zimbabwe,POINT (29.42457012 -21.85433001)
185,no,Matanda,32.40005004,-19.25875998,Zimbabwe,POINT (32.40005004 -19.25875998)
186,no,Matetsi,25.95287016,-18.27822996,Zimbabwe,POINT (25.95287016 -18.27822996)
187,no,Matibis,31.31808984,-21.68353998,Zimbabwe,POINT (31.31808984 -21.68353998)
188,no,Matione,31.89232008,-17.34399,Zimbabwe,POINT (31.89232008 -17.34399)
189,no,Matobo,28.47819996,-20.42331003,Zimbabwe,POINT (28.47819996 -20.42331003)
190,no,Matymount,32.40348012,-16.69249998,Zimbabwe,POINT (32.40348012 -16.69249998)
191,no,Mavis,29.33075988,-18.48195,Zimbabwe,POINT (29.33075988 -18.48195)
192,no,Mayo,32.26548996,-17.88012,Zimbabwe,POINT (32.26548996 -17.88012)
193,no,Mazoe,30.97353996,-17.50754997,Zimbabwe,POINT (30.97353996 -17.50754997)
194,no,Mazunga,29.87129988,-21.73653,Zimbabwe,POINT (29.87129988 -21.73653)
